unix_timestamp,camera_id,vehicle_plate,vehicle_color,vehicle_type,vehicle_features
# A1: only LP by the Salon crime scene at that time 
"2026-08-25T12:16:05",3,LPA1,Blue,CHEVY BOLT,"[""Scratched Bumper""]"
"2026-08-25T12:24:51",5,LPA1,Blue,CHEVY BOLT,"[""Scratched Bumper""]"
+ travel noise

# A2: out after curfew
"2026-08-25T03:11:50",1,LPA2,White,STATION WAGON,"[""Dinged Hood""]"
"2026-08-25T03:12:15",3,LPA2,White,STATION WAGON,"[""Dinged Hood""]"
+ travel noise

# A3: sleeping at the airport
"2026-08-25T00:10:35",2,LPA3,Gray,VAN,"[""Jesus Fish""]"
"2026-08-25T00:11:50",5,LPA3,Gray,VAN,"[""Jesus Fish""]"
"2026-08-25T11:25:02",5,LPA3,Gray,VAN,"[""Jesus Fish""]"
+ travel noise

# A4: 3 license plates with an out-of-town alibi
+ culprit = any random existing LP
+ innocent 1 noise on day before and after
+ innocent 2 noise on day before and after

# B1: keeps throwing a brick at the hospital and speeding away
"2026-08-25T07:16:00",1,LPB1,White,KIA OPTIMA,"[""Honor Student Bumper Sticker""]"
"2026-08-25T07:16:15",1,LPB1,White,KIA OPTIMA,"[""Honor Student Bumper Sticker""]"
"2026-09-25T11:50:10",1,LPB1,White,KIA OPTIMA,"[""Honor Student Bumper Sticker""]"
"2026-09-25T11:50:25",1,LPB1,White,KIA OPTIMA,"[""Honor Student Bumper Sticker""]"
+ travel noise

# B2: stalking
+ cuplrit = copy existing person but add 30 seconds to each time
